cnum	TNTcnum	minsteps	maxsteps	cscores	chomo	CIs	RIs	RCIs
74	73	7	129	68	61	0.102941176470588	0.5	0.0514705882352941
75	74	18	429	229	211	0.0786026200873362	0.48661800486618	0.0382494501641539
76	75	5	28	17	12	0.294117647058824	0.478260869565217	0.140664961636829
77	76	5	369	100	95	0.05	0.739010989010989	0.0369505494505495
78	77	11	306	126	115	0.0873015873015873	0.610169491525424	0.0532687651331719
79	78	17	501	286	269	0.0594405594405594	0.444214876033058	0.0264043807432237
80	79	9	354	147	138	0.0612244897959184	0.6	0.036734693877551
81	80	5	185	45	40	0.111111111111111	0.777777777777778	0.0864197530864197
82	81	18	477	272	254	0.0661764705882353	0.446623093681917	0.0295559400230681
83	82	15	452	266	251	0.056390977443609	0.425629290617849	0.0240016517265704
84	83	13	351	156	143	0.0833333333333333	0.576923076923077	0.0480769230769231
85	84	14	393	222	208	0.0630630630630631	0.451187335092348	0.0284532553661841
86	85	17	497	310	293	0.0548387096774194	0.389583333333333	0.021364247311828
87	86	17	342	224	207	0.0758928571428571	0.363076923076923	0.0275549450549451
88	87	16	214	146	130	0.10958904109589	0.343434343434343	0.0376366403763664
89	88	17	353	199	182	0.085427135678392	0.458333333333333	0.0391541038525963
90	89	14	336	174	160	0.0804597701149425	0.503105590062112	0.04047976011994
91	90	15	413	201	186	0.0746268656716418	0.532663316582915	0.0397509937748444
92	91	16	401	193	177	0.0829015544041451	0.54025974025974	0.0447883722495121
93	92	16	402	244	228	0.0655737704918033	0.409326424870466	0.0268410770406863
94	93	15	456	265	250	0.0566037735849057	0.433106575963719	0.0245154665639841
95	94	8	364	140	132	0.0571428571428571	0.629213483146067	0.0359550561797753
96	95	11	288	93	82	0.118279569892473	0.703971119133574	0.0832654011878421
97	96	16	431	228	212	0.0701754385964912	0.489156626506024	0.0343267808074403
98	97	16	184	97	81	0.164948453608247	0.517857142857143	0.085419734904271
99	98	5	189	86	81	0.0581395348837209	0.559782608695652	0.0325455005055612
100	99	13	341	136	123	0.0955882352941176	0.625	0.0597426470588235
101	100	17	342	168	151	0.101190476190476	0.535384615384615	0.0541758241758242
102	101	6	24	19	13	0.315789473684211	0.277777777777778	0.087719298245614
103	102	5	124	56	51	0.0892857142857143	0.571428571428571	0.0510204081632653
104	103	16	387	197	181	0.0812182741116751	0.512129380053908	0.0415942643698606
105	104	11	355	114	103	0.0964912280701754	0.700581395348837	0.0675999592003264
106	105	5	34	23	18	0.217391304347826	0.379310344827586	0.0824587706146926
107	106	13	294	126	113	0.103174603174603	0.597864768683274	0.0616844602609727
108	107	13	460	213	200	0.0610328638497653	0.552572706935123	0.0337250947894676
109	108	2	25	15	13	0.133333333333333	0.434782608695652	0.0579710144927536
110	109	6	189	70	64	0.0857142857142857	0.650273224043716	0.0557377049180328
111	110	10	446	252	242	0.0396825396825397	0.444954128440367	0.0176569098587447
112	111	11	335	176	165	0.0625	0.490740740740741	0.0306712962962963
113	112	9	107	63	54	0.142857142857143	0.448979591836735	0.0641399416909621
114	113	14	239	86	72	0.162790697674419	0.68	0.110697674418605
115	114	15	251	120	105	0.125	0.555084745762712	0.069385593220339
116	115	15	322	185	170	0.0810810810810811	0.446254071661238	0.0361827625671274
117	116	15	401	207	192	0.072463768115942	0.50259067357513	0.0364196140271833
118	117	17	437	226	209	0.0752212389380531	0.502380952380952	0.0377897176569743
119	118	18	306	186	168	0.0967741935483871	0.416666666666667	0.0403225806451613
120	119	18	451	237	219	0.0759493670886076	0.494226327944573	0.0375361768059169
121	120	12	284	149	137	0.0805369127516778	0.496323529411765	0.0399723647848401
122	121	16	490	265	249	0.060377358490566	0.474683544303797	0.0286601385240029
123	122	18	451	269	251	0.0669144981412639	0.420323325635104	0.02812572439194
124	123	18	371	240	222	0.075	0.371104815864023	0.0278328611898017
125	124	17	445	251	234	0.0677290836653386	0.453271028037383	0.030699631381018
126	125	16	455	270	254	0.0592592592592593	0.421412300683371	0.0249725807812368
127	126	17	473	307	290	0.0553745928338762	0.364035087719298	0.0201582947597006
128	127	19	425	224	205	0.0848214285714286	0.495073891625616	0.0419928747361013
129	128	16	482	305	289	0.0524590163934426	0.379828326180258	0.019925420389784
130	129	15	374	218	203	0.0688073394495413	0.434540389972145	0.0298995681173494
131	130	18	382	204	186	0.0882352941176471	0.489010989010989	0.0431480284421461
132	131	19	473	266	247	0.0714285714285714	0.455947136563877	0.0325676526117055
133	132	16	441	226	210	0.0707964601769911	0.505882352941176	0.0358146798542426
134	133	15	403	228	213	0.0657894736842105	0.451030927835052	0.0296730873575692
135	134	18	330	216	198	0.0833333333333333	0.365384615384615	0.0304487179487179
136	135	17	382	190	173	0.0894736842105263	0.526027397260274	0.0470656092285508
137	136	18	348	192	174	0.09375	0.472727272727273	0.0443181818181818
138	137	17	454	246	229	0.0691056910569106	0.475972540045767	0.0328924113039757
139	138	19	471	261	242	0.0727969348659004	0.464601769911504	0.0338215847828298
140	139	15	121	69	54	0.217391304347826	0.490566037735849	0.106644790812141
141	140	15	255	162	147	0.0925925925925926	0.3875	0.0358796296296296
