feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	20055	20198	-	UBQ05581.1			hypothetical protein			LCC91_00110	144	47	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	20243	21376	+							LCC91_00115	1134		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	20243	21376	+	UBQ05582.1			metallophosphoesterase			LCC91_00115	1134	377	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	21373	24090	+							LCC91_00120	2718		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	21373	24090	+	UBQ05583.1			AAA family ATPase			LCC91_00120	2718	905	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	24087	26843	+					cas10		LCC91_00125	2757		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	24087	26843	+	UBQ05584.1			type III-A CRISPR-associated protein Cas10/Csm1	cas10		LCC91_00125	2757	918	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	26855	27334	+					csm2		LCC91_00130	480		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	26855	27334	+	UBQ05585.1			type III-A CRISPR-associated protein Csm2	csm2		LCC91_00130	480	159	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	27346	28074	+					csm3		LCC91_00135	729		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	27346	28074	+	UBQ05586.1			type III-A CRISPR-associated RAMP protein Csm3	csm3		LCC91_00135	729	242	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	28071	29006	+							LCC91_00140	936		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	28071	29006	+	UBQ05587.1			hypothetical protein			LCC91_00140	936	311	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	29003	30598	+							LCC91_00145	1596		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	29003	30598	+	UBQ05588.1			RAMP superfamily CRISPR-associated protein			LCC91_00145	1596	531	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	30595	31569	+					cas6		LCC91_00150	975		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	30595	31569	+	UBQ05589.1			CRISPR system precrRNA processing endoribonuclease RAMP protein Cas6	cas6		LCC91_00150	975	324	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	33275	33556	+					cas2		LCC91_00155	282		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	33275	33556	+	UBQ05590.1			CRISPR-associated endonuclease Cas2	cas2		LCC91_00155	282	93	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	33569	34534	+					cas1		LCC91_00160	966		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	33569	34534	+	UBQ05591.1			CRISPR-associated endonuclease Cas1	cas1		LCC91_00160	966	321	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	34534	34887	+							LCC91_00165	354		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	34534	34887	+	UBQ06744.1			CRISPR-associated endonuclease Cas2			LCC91_00165	354	117	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	34910	35218	+					csx16		LCC91_00170	309		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	34910	35218	+	UBQ05592.1			CRISPR-associated protein Csx16	csx16		LCC91_00170	309	102	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	35221	36393	+							LCC91_00175	1173		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	35221	36393	+	UBQ05593.1			DUF1887 family protein			LCC91_00175	1173	390	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	36399	37532	+							LCC91_00180	1134		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	36399	37532	+	UBQ06745.1			TIGR02584 family CRISPR-associated protein			LCC91_00180	1134	377	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	37654	39726	+							LCC91_00185	2073		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	37654	39726	+	UBQ05594.1			hypothetical protein			LCC91_00185	2073	690	
gene	pseudogene	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	39988	41385	-							LCC91_00190	1398		pseudo
CDS	without_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	39988	41385	-				IS5 family transposase			LCC91_00190	1398		pseudo
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	41479	41922	+							LCC91_00195	444		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	41479	41922	+	UBQ05595.1			FlhC family transcriptional regulator			LCC91_00195	444	147	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	43595	44059	-							LCC91_00200	465		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	43595	44059	-	UBQ05596.1			hypothetical protein			LCC91_00200	465	154	
gene	pseudogene	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	44076	44144	-							LCC91_00205	69		pseudo
CDS	without_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	44076	44144	-				hypothetical protein			LCC91_00205	69		pseudo
gene	pseudogene	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	44289	45247	+							LCC91_00210	959		pseudo
CDS	without_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	44289	45247	+				IS3 family transposase			LCC91_00210	959		pseudo
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	45319	46095	+							LCC91_00215	777		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	45319	46095	+	UBQ05597.1			CPBP family intramembrane metalloprotease			LCC91_00215	777	258	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	46125	46562	+							LCC91_00220	438		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	46125	46562	+	UBQ05598.1			GyrI-like domain-containing protein			LCC91_00220	438	145	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	46559	47017	+							LCC91_00225	459		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	46559	47017	+	UBQ05599.1			GNAT family N-acetyltransferase			LCC91_00225	459	152	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	47028	47930	-							LCC91_00230	903		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	47028	47930	-	UBQ05600.1			helix-turn-helix transcriptional regulator			LCC91_00230	903	300	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	47913	48302	+							LCC91_00235	390		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	47913	48302	+	UBQ05601.1			nuclear transport factor 2 family protein			LCC91_00235	390	129	
gene	pseudogene	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	48477	48800	+							LCC91_00240	324		pseudo
CDS	without_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	48477	48800	+				ATP-binding protein			LCC91_00240	324		pseudo
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	48737	48910	-							LCC91_00245	174		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	48737	48910	-	UBQ06905.1			hypothetical protein			LCC91_00245	174	57	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	48930	49301	-							LCC91_00250	372		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	48930	49301	-	UBQ05602.1			hypothetical protein			LCC91_00250	372	123	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	49399	49890	+							LCC91_00255	492		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	49399	49890	+	UBQ05603.1			hypothetical protein			LCC91_00255	492	163	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	49985	50317	+							LCC91_00260	333		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	49985	50317	+	UBQ05604.1			metalloregulator ArsR/SmtB family transcription factor			LCC91_00260	333	110	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	50349	50954	+							LCC91_00265	606		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	50349	50954	+	UBQ05605.1			glyoxalase/bleomycin resistance/dioxygenase family protein			LCC91_00265	606	201	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	50976	51479	+							LCC91_00270	504		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	50976	51479	+	UBQ05606.1			arsenate reductase ArsC			LCC91_00270	504	167	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	51476	52543	+					arsB		LCC91_00275	1068		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	51476	52543	+	UBQ05607.1			ACR3 family arsenite efflux transporter	arsB		LCC91_00275	1068	355	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	52574	53101	-							LCC91_00280	528		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	52574	53101	-	UBQ05608.1			cytochrome b/b6 domain-containing protein			LCC91_00280	528	175	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	53120	53362	-							LCC91_00285	243		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	53120	53362	-	UBQ06746.1			PepSY domain-containing protein			LCC91_00285	243	80	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	53557	53913	+							LCC91_00290	357		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	53557	53913	+	UBQ05609.1			PepSY domain-containing protein			LCC91_00290	357	118	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	53910	54581	+							LCC91_00295	672		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	53910	54581	+	UBQ05610.1			response regulator transcription factor			LCC91_00295	672	223	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	55547	55954	+							LCC91_00300	408		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	55547	55954	+	UBQ06747.1			GHKL domain-containing protein			LCC91_00300	408	135	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	56240	56866	-							LCC91_00305	627		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	56240	56866	-	UBQ05611.1			glutathione S-transferase N-terminal domain-containing protein			LCC91_00305	627	208	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	56984	58453	+					purB		LCC91_00310	1470		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	56984	58453	+	UBQ05612.1			adenylosuccinate lyase	purB		LCC91_00310	1470	489	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	58450	58878	-							LCC91_00315	429		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	58450	58878	-	UBQ05613.1			DUF3717 domain-containing protein			LCC91_00315	429	142	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	58978	60627	-							LCC91_00320	1650		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	58978	60627	-	UBQ05614.1			M48 family metalloprotease			LCC91_00320	1650	549	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	60708	61205	+					moaC		LCC91_00325	498		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	60708	61205	+	UBQ05615.1			cyclic pyranopterin monophosphate synthase MoaC	moaC		LCC91_00325	498	165	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	61207	62058	-							LCC91_00330	852		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	61207	62058	-	UBQ05616.1			3-hydroxybutyryl-CoA dehydrogenase			LCC91_00330	852	283	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	62251	62796	-							LCC91_00335	546		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	62251	62796	-	UBQ05617.1			phasin family protein			LCC91_00335	546	181	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	62993	65653	-							LCC91_00340	2661		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	62993	65653	-	UBQ05618.1			bifunctional acetate--CoA ligase family protein/GNAT family N-acetyltransferase			LCC91_00340	2661	886	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	65640	66305	-							LCC91_00345	666		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	65640	66305	-	UBQ05619.1			DUF502 domain-containing protein			LCC91_00345	666	221	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	66335	67243	-					rsmI		LCC91_00350	909		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	66335	67243	-	UBQ06748.1			16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI		LCC91_00350	909	302	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	67272	67700	+							LCC91_00355	429		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	67272	67700	+	UBQ05620.1			YraN family protein			LCC91_00355	429	142	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	67719	68333	+							LCC91_00360	615		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	67719	68333	+	UBQ05621.1			SIS domain-containing protein			LCC91_00360	615	204	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	68330	69001	+							LCC91_00365	672		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	68330	69001	+	UBQ05622.1			BON domain-containing protein			LCC91_00365	672	223	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	69125	70039	-							LCC91_00370	915		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	69125	70039	-	UBQ05623.1			NAD(P)-dependent oxidoreductase			LCC91_00370	915	304	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	70072	71208	-							LCC91_00375	1137		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	70072	71208	-	UBQ05624.1			PilT/PilU family type 4a pilus ATPase			LCC91_00375	1137	378	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	71228	72271	-							LCC91_00380	1044		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	71228	72271	-	UBQ05625.1			type IV pilus twitching motility protein PilT			LCC91_00380	1044	347	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	72284	73000	+							LCC91_00385	717		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	72284	73000	+	UBQ05626.1			YggS family pyridoxal phosphate-dependent enzyme			LCC91_00385	717	238	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	73043	76651	-					putA		LCC91_00390	3609		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	73043	76651	-	UBQ05627.1			bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA	putA		LCC91_00390	3609	1202	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	76888	77352	+							LCC91_00395	465		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	76888	77352	+	UBQ05628.1			Lrp/AsnC ligand binding domain-containing protein			LCC91_00395	465	154	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	77568	78635	-							LCC91_00400	1068		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	77568	78635	-	UBQ05629.1			ornithine cyclodeaminase			LCC91_00400	1068	355	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	78806	79225	+							LCC91_00405	420		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	78806	79225	+	UBQ05630.1			Lrp/AsnC family transcriptional regulator			LCC91_00405	420	139	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	79377	81224	+							LCC91_00410	1848		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	79377	81224	+	UBQ05631.1			bifunctional anthranilate synthase component I family protein/class IV aminotransferase			LCC91_00410	1848	615	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	81446	81790	-							LCC91_00415	345		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	81446	81790	-	UBQ05632.1			RidA family protein			LCC91_00415	345	114	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	81834	82817	-							LCC91_00420	984		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	81834	82817	-	UBQ05633.1			delta(1)-pyrroline-2-carboxylate reductase family protein			LCC91_00420	984	327	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	82814	84469	-							LCC91_00425	1656		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	82814	84469	-	UBQ05634.1			PAS domain-containing protein			LCC91_00425	1656	551	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	84784	86283	-							LCC91_00430	1500		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	84784	86283	-	UBQ05635.1			FAD-binding protein			LCC91_00430	1500	499	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	86649	87074	+							LCC91_00435	426		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	86649	87074	+	UBQ05636.1			Hsp20/alpha crystallin family protein			LCC91_00435	426	141	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	87295	88167	-							LCC91_00440	873		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	87295	88167	-	UBQ05637.1			LysR family transcriptional regulator			LCC91_00440	873	290	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	88336	89184	-					purU		LCC91_00445	849		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	88336	89184	-	UBQ05638.1			formyltetrahydrofolate deformylase	purU		LCC91_00445	849	282	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	89246	90175	-							LCC91_00450	930		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	89246	90175	-	UBQ05639.1			2-dehydropantoate 2-reductase			LCC91_00450	930	309	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	90307	91722	+					glmU		LCC91_00455	1416		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	90307	91722	+	UBQ05640.1			bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	glmU		LCC91_00455	1416	471	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	91838	92374	-							LCC91_00460	537		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	91838	92374	-	UBQ05641.1			Lrp/AsnC family transcriptional regulator			LCC91_00460	537	178	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	92520	94448	+					glmS		LCC91_00465	1929		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	92520	94448	+	UBQ05642.1			glutamine--fructose-6-phosphate transaminase (isomerizing)	glmS		LCC91_00465	1929	642	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	94622	95287	-							LCC91_00470	666		
CDS	with_protein	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	94622	95287	-	UBQ05643.1			cation transporter			LCC91_00470	666	221	
gene	protein_coding	GCA_020162115.1	Primary Assembly	chromosome		CP083911.1	95382	95837	+							LCC91_00475	456		
