domain	phylum	class	order	family	genus	species	genbank	protein	prokka	description	oldname
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio_bacteriovorus	CP007656.1	AHZ84904	NA	gliding motility protein	AHZ84904.1_gliding_motility_protein_[Bdellovibrio
Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas_aurantiaca_T-27	AP009153.1	BAH38987	NA	putative biopolymer transport protein	BAH38987.1_putative_biopolymer_transport_protein_
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus_terrae_PB90-1	CP001032.1	ACB77180	NA	MotA/TolQ/ExbB proton channel	ACB77180.1_MotA/TolQ/ExbB_proton_channel_[Opitutu
Bacteria	Pseudomonadota	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus	Desulfococcus_multivorans	CP019913.2	AQU99646	NA	MotA	AQU99646.1_MotA_[Desulfococcus_multivorans]
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Geovibrionaceae	Geovibrio	Geovibrio_thiophilus	CP035108.1	QAR33430	NA	MotA/TolQ/ExbB proton channel family protein	QAR33430.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio_japonicus	CP043306.1	QEI19895	NA	MotA/TolQ/ExbB proton channel family protein	QEI19895.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus_DZ2	CP080538.1	UEO03725	NA	MotA/TolQ/ExbB proton channel family protein	UEO03725.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Cytophaga	Cytophaga_hutchinsonii_ATCC_33406	CP000383.1	ABG60812	NA	outer membrane transport energization protein ExbB	ABG60812.1_outer_membrane_transport_energization_
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium_ulcerans	CP028105.1	AVQ29260	NA	MotA/TolQ/ExbB proton channel family protein	AVQ29260.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Geovibrionaceae	Denitrovibrio	Denitrovibrio_acetiphilus_DSM_12809	CP001968.1	ADD68376	NA	MotA/TolQ/ExbB proton channel	ADD68376.1_MotA/TolQ/ExbB_proton_channel_[Denitro
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus	Corallococcus_coralloides_DSM_2259	CP003389.1	AFE10515	NA	MotA/TolQ/ExbB proton channel family protein	AFE10515.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter_succinogenes_subsp._succinogenes_S85	CP001792.1	ACX74513	NA	MotA/TolQ/ExbB proton channel	ACX74513.1_MotA/TolQ/ExbB_proton_channel_[Fibroba
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter_nitrofigilis_DSM_7299	CP001999.1	ADG92738	NA	MotA/TolQ/ExbB proton channel	ADG92738.1_MotA/TolQ/ExbB_proton_channel_[Arcobac
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter_dehalogenans_2CP-1	CP001359.1	ACL67494	NA	MotA/TolQ/ExbB proton channel	ACL67494.1_MotA/TolQ/ExbB_proton_channel_[Anaerom
Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium_limicola_DSM_245	CP001097.1	ACD89825	NA	protein TolQ	ACD89825.1_protein_TolQ_[Chlorobium_limicola_DSM_
Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium_limicola_DSM_245	CP001097.1	ACD90995	NA	MotA/TolQ/ExbB proton channel	ACD90995.1_MotA/TolQ/ExbB_proton_channel_[Chlorob
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio_bacteriovorus	CP007656.1	AHZ86092	NA	tolQ protein	AHZ86092.1_tolQ_protein_[Bdellovibrio_bacteriovor
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio_japonicus	CP043306.1	QEI18804	NA	protein TolQ	QEI18804.1_protein_TolQ_[Cellvibrio_japonicus]
Bacteria	Pseudomonadota	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	Mariprofundus_ferrinatatus	CP018800.1	ATX82928	NA	chemotaxis protein MotA	ATX82928.1_chemotaxis_protein_MotA_[Mariprofundus
Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiella	Kiritimatiella_glycovorans	CP010904.1	AKJ64799	NA	ExbB proton channel family protein	AKJ64799.1_ExbB_proton_channel_family_protein_[Ki
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula	Pirellula_staleyi_DSM_6068	CP001848.1	ADB17134	NA	MotA/TolQ/ExbB proton channel	ADB17134.1_MotA/TolQ/ExbB_proton_channel_[Pirellu
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus_DK_1622	CP000113.1	ABF87376	NA	MotA/TolQ/ExbB proton channel family protein	ABF87376.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella_ovis_ATCC_25840	CP000708.1	ABQ60495	NA	ExbB	ABQ60495.1_ExbB_[Brucella_ovis_ATCC_25840]
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Nibricoccus	Nibricoccus_aquaticus	CP023344.1	ATC62712	NA	flagellar motor protein MotA	ATC62712.1_flagellar_motor_protein_MotA_[Nibricoc
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobacter	Hydrogenobacter_thermophilus_TK-6	CP002221.1	ADO44512	NA	MotA/TolQ/ExbB proton channel	ADO44512.1_MotA/TolQ/ExbB_proton_channel_[Hydroge
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella_sonnei	CP055292.1	QKY95842	NA	flagellar motor stator protein MotA	QKY95842.1_flagellar_motor_stator_protein_MotA_[S
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter_nitrofigilis_DSM_7299	CP001999.1	ADG92231	NA	MotA/TolQ/ExbB proton channel	ADG92231.1_MotA/TolQ/ExbB_proton_channel_[Arcobac
Bacteria	Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Dissulfurispiraceae	Dissulfurispira	Dissulfurispira_thermophila	AP022873.1	BCB95942	NA	biopolymer transporter ExbB	BCB95942.1_biopolymer_transporter_ExbB_[Dissulfur
Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	Sedimentisphaeraceae	Sedimentisphaera	Sedimentisphaera_salicampi	CP021023.1	ARN57520	NA	Biopolymer transport protein ExbB	ARN57520.1_Biopolymer_transport_protein_ExbB_[Sed
Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia_trachomatis_D/UW-3/CX	AE001273.1	AAC68198	NA	polysaccharide transporter	AAC68198.1_polysaccharide_transporter_[Chlamydia_
Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma	Anaplasma_phagocytophilum_str._JM	CP006617.1	AGR80198	NA	TolQ protein	AGR80198.1_TolQ_protein_[Anaplasma_phagocytophilu
Bacteria	Bacillota	Tissierellia	Tissierellales	Acidilutibacteraceae	Acidilutibacter	Acidilutibacter_cellobiosedens	CP035282.1	QAT61614	NA	motility protein A	QAT61614.1_motility_protein_A_[Tissierella_sp._JN
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter_nitrofigilis_DSM_7299	CP001999.1	ADG93991	NA	MotA/TolQ/ExbB proton channel	ADG93991.1_MotA/TolQ/ExbB_proton_channel_[Arcobac
Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Niastella	Niastella_koreensis_GR20-10	CP003178.1	AEW03299	NA	outer membrane transport energization protein ExbB	AEW03299.1_outer_membrane_transport_energization_
Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Rubinisphaera	Rubinisphaera_brasiliensis_DSM_5305	CP002546.1	ADY58078	NA	MotA/TolQ/ExbB proton channel	ADY58078.1_MotA/TolQ/ExbB_proton_channel_[Rubinis
Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas_subvibrioides_ATCC_15264	CP002102.1	ADL00174	NA	protein TolQ	ADL00174.1_protein_TolQ_[Brevundimonas_subvibrioi
Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	Caldicellulosiruptor_obsidiansis_OB47	CP002164.1	ADL42743	NA	MotA/TolQ/ExbB proton channel	ADL42743.1_MotA/TolQ/ExbB_proton_channel_[Caldice
Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium_phaeobacteroides_DSM_266	CP000492.1	ABL64907	NA	Cell division and transport-associated protein TolQ	ABL64907.1_Cell_division_and_transport-associated
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans	JAHKPP010000027.1	MBU2985819	NA	flagellar motor protein	MBU2985819.1_flagellar_motor_protein_[Saccharopha
Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira_moscoviensis	CP011801.1	ALA61164	NA	MotA/TolQ/ExbB proton channel	ALA61164.1_MotA/TolQ/ExbB_proton_channel_[Nitrosp
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus_DK_1622	CP000113.1	ABF91342	NA	MotA/TolQ/ExbB proton channel family protein	ABF91342.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiella	Kiritimatiella_glycovorans	CP010904.1	AKJ65567	NA	Biopolymer transport protein ExbB	AKJ65567.1_Biopolymer_transport_protein_ExbB_[Kir
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio_bacteriovorus	CP007656.1	AHZ86042	NA	gliding motility protein	AHZ86042.1_gliding_motility_protein_[Bdellovibrio
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium_canifelinum	CP068114.1	QQS88170	NA	MotA/TolQ/ExbB proton channel family protein	QQS88170.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_santarosai_serovar_Shermani_str._LT_821	CP006694.1	EKT86397	NA	biopolymer transporter ExbB	EKT86397.1_biopolymer_transporter_ExbB_[Leptospir
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum	Sulfurospirillum_halorespirans_DSM_13726	CP017111.1	AOO66396	NA	TolQ proton channel family protein	AOO66396.1_TolQ_proton_channel_family_protein_[Su
Bacteria	Pseudomonadota	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus	Desulfococcus_multivorans	CP019913.2	AQV01680	NA	protein TolQ	AQV01680.1_protein_TolQ_[Desulfococcus_multivoran
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter_dehalogenans_2CP-1	CP001359.1	ACL63649	NA	MotA/TolQ/ExbB proton channel	ACL63649.1_MotA/TolQ/ExbB_proton_channel_[Anaerom
Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter_vibrioides_NA1000	CP001340.1	ACL95886	NA	TonB accessory protein exbB	ACL95886.1_TonB_accessory_protein_exbB_[Caulobact
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter_luteus	CP051774.1	QJE97562	NA	MotA/TolQ/ExbB proton channel family protein	QJE97562.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula	Pirellula_staleyi_DSM_6068	CP001848.1	ADB16663	NA	MotA/TolQ/ExbB proton channel	ADB16663.1_MotA/TolQ/ExbB_proton_channel_[Pirellu
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus	Corallococcus_coralloides_DSM_2259	CP003389.1	AFE10516	NA	MotA/TolQ/ExbB proton channel family protein	AFE10516.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_nordii	CP082886.1	UAK41330	NA	MotA/TolQ/ExbB proton channel family protein	UAK41330.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_parahaemolyticus_RIMD_2210633	BA000031.2	BAC59320	NA	TolQ protein	BAC59320.1_TolQ_protein_[Vibrio_parahaemolyticus_
Bacteria	Pseudomonadota	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter_sulfurreducens_PCA	AE017180.2	AAR36419	NA	flagellar basal body stator protein MotA	AAR36419.1_flagellar_basal_body_stator_protein_Mo
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus	Corallococcus_coralloides_DSM_2259	CP003389.1	AFE08686	NA	TonB system transport protein ExbB/TolQ	AFE08686.1_TonB_system_transport_protein_ExbB/Tol
Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_parahaemolyticus_RIMD_2210633	BA000032.2	BAC61495	NA	biopolymer transport protein ExbB-related protein	BAC61495.1_biopolymer_transport_protein_ExbB-rela
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Lignipirellula	Lignipirellula_cremea	CP036433.1	QDU94893	NA	Biopolymer transport protein ExbB	QDU94893.1_Biopolymer_transport_protein_ExbB_[Lig
Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_cholerae	CP043554.1	QEO41016	NA	protein TolQ	QEO41016.1_protein_TolQ_[Vibrio_cholerae]
Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Isosphaera	Isosphaera_pallida_ATCC_43644	CP002353.1	ADV63425	NA	hypothetical protein Isop_2860	ADV63425.1_hypothetical_protein_Isop_2860_[Isosph
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Rhodobacter	Rhodobacter_capsulatus_SB_1003	CP001312.1	ADE87210	NA	chemotaxis protein MotA	ADE87210.1_chemotaxis_protein_MotA_[Rhodobacter_c
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_aeruginosa_PAO1	AE004091.2	AAG06371	NA	probable tolQ-type transport protein	AAG06371.1_probable_tolQ-type_transport_protein_[
Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_parahaemolyticus_RIMD_2210633	BA000032.2	BAC62899	NA	chemotaxis LafT protein	BAC62899.1_chemotaxis_LafT_protein_[Vibrio_paraha
Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter_succinogenes_subsp._succinogenes_S85	CP001792.1	ACX73814	NA	MotA/TolQ/ExbB proton channel	ACX73814.1_MotA/TolQ/ExbB_proton_channel_[Fibroba
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	Coprobacter_secundus_subsp._similis	AP023322.1	BCI63565	NA	biopolymer transporter ExbB	BCI63565.1_biopolymer_transporter_ExbB_[Coprobact
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia_pseudotuberculosis_IP_32953	CP009712.1	AJJ54987	NA	flagellar motor stator protein MotA	AJJ54987.1_flagellar_motor_stator_protein_MotA_[Y
Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_parahaemolyticus_RIMD_2210633	BA000032.2	BAC61768	NA	ExbB-like protein	BAC61768.1_ExbB-like_protein_[Vibrio_parahaemolyt
Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax_saidenbachensis	CP019239.1	APW44370	NA	flagellar motor protein MotA	APW44370.1_flagellar_motor_protein_MotA_[Rhodofer
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Rhodobacter	Rhodobacter_capsulatus_SB_1003	CP001312.1	ADE86923	NA	TolQ protein	ADE86923.1_TolQ_protein_[Rhodobacter_capsulatus_S
Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiella	Kiritimatiella_glycovorans	CP010904.1	AKJ64362	NA	Biopolymer transport protein ExbB	AKJ64362.1_Biopolymer_transport_protein_ExbB_[Kir
Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Cytophaga	Cytophaga_hutchinsonii_ATCC_33406	CP000383.1	ABG59284	NA	outer membrane transport energization protein ExbB	ABG59284.1_outer_membrane_transport_energization_
Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Bryobacteraceae	Paludibaculum	Paludibaculum_fermentans	CP063849.1	QOY85080	NA	flagellar motor stator protein MotA	QOY85080.1_flagellar_motor_stator_protein_MotA_[P
Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira_moscoviensis	CP011801.1	ALA58549	NA	Flagellar motor protein MotA	ALA58549.1_Flagellar_motor_protein_MotA_[Nitrospi
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillum	Rhodospirillum_rubrum_F11	CP003046.1	AEO47594	NA	MotA/TolQ/ExbB proton channel	AEO47594.1_MotA/TolQ/ExbB_proton_channel_[Rhodosp
Bacteria	Bacillota	Tissierellia	Tissierellales	Acidilutibacteraceae	Acidilutibacter	Acidilutibacter_cellobiosedens	CP035282.1	QAT63225	NA	motility protein A	QAT63225.1_motility_protein_A_[Tissierella_sp._JN
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus_DZ2	CP080538.1	UEO04809	NA	MotA/TolQ/ExbB proton channel family protein	UEO04809.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Geovibrionaceae	Denitrovibrio	Denitrovibrio_acetiphilus_DSM_12809	CP001968.1	ADD67745	NA	MotA/TolQ/ExbB proton channel	ADD67745.1_MotA/TolQ/ExbB_proton_channel_[Denitro
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium_cellulosum	CP012670.1	AUX20279	NA	transport protein tolQ	"AUX20279.1_transport_protein,_tolQ_[Sorangium_cel"
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia_pestis	CP009844.1	AJJ32757	NA	flagellar motor stator protein MotA	AJJ32757.1_flagellar_motor_stator_protein_MotA_[Y
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans	JAHKPP010000031.1	MBU2986144	NA	MotA/TolQ/ExbB proton channel family protein	MBU2986144.1_MotA/TolQ/ExbB_proton_channel_family
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli_str._K-12_substr._MG1655	U00096.3	AAC74960	NA	motility protein A	AAC74960.1_motility_protein_A_[Escherichia_coli_s
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula	Pirellula_staleyi_DSM_6068	CP001848.1	ADB17547	NA	MotA/TolQ/ExbB proton channel	ADB17547.1_MotA/TolQ/ExbB_proton_channel_[Pirellu
Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium_oryzae_CBMB20	CP003811.1	AIQ92767	NA	MotA/TolQ/ExbB proton channel	AIQ92767.1_MotA/TolQ/ExbB_proton_channel_[Methylo
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Geovibrionaceae	Geovibrio	Geovibrio_thiophilus	CP035108.1	QAR32385	NA	motility protein A	QAR32385.1_motility_protein_A_[Geovibrio_thiophil
Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiella	Kiritimatiella_glycovorans	CP010904.1	AKJ63368	NA	Biopolymer transport protein ExbB	AKJ63368.1_Biopolymer_transport_protein_ExbB_[Kir
Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_alpina	CP061038.1	QNQ08778	NA	protein TolQ	QNQ08778.1_protein_TolQ_[Sphingomonas_alpina]
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter_luteus	CP051774.1	QJE97567	NA	MotA/TolQ/ExbB proton channel family protein	QJE97567.1_MotA/TolQ/ExbB_proton_channel_family_p
