#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2CAA9EAD860FDECB-11C92E937F7B19B7
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-08-16T00:35:54	Run time	0:00:04:12
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#24 - QEI18324.1	superfamily	444982	322	439	7.86746e-35	125.683	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#24 - QEI18324.1	superfamily	173412	23	102	0.000680196	42.4355	cl31754	PTZ00121 superfamily	NC	 - 
Q#25 - ABK35895.1	superfamily	444982	317	432	2.56662e-31	116.438	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#26 - EKB20826.1	superfamily	444982	317	432	1.55222e-31	116.823	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#27 - ATP10892.1	superfamily	444982	317	432	1.34439e-31	117.208	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#28 - QCG47236.1	superfamily	444982	331	432	1.45302e-31	116.823	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#29 - EAS76518.1	superfamily	444982	315	430	2.61068e-30	113.742	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#30 - BAC58429.1	superfamily	444982	315	430	2.92197e-30	113.356	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#31 - BAC93012.1	superfamily	444982	315	430	7.78968e-31	114.897	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#31 - BAC93012.1	superfamily	224241	8	103	0.000201242	43.5344	cl34228	RmuC superfamily	C	 - 
Q#32 - ADG92231.1	superfamily	444982	332	421	1.33303e-29	111.43	cl00568	MotA_ExbB superfamily	N	 - 
Q#33 - ABA57126.1	superfamily	444982	332	448	3.08389e-33	121.831	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#33 - ABA57126.1	superfamily	236942	50	127	0.00333055	39.6764	cl36038	PRK11637 superfamily	NC	 - 
Q#34 - QEI18407.1	superfamily	444982	318	434	4.75944e-30	112.971	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#35 - AAU90389.1	superfamily	444982	252	368	3.03708e-28	107.193	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#36 - EKB22828.1	superfamily	444982	291	403	1.2414e-32	119.52	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#37 - ABK39661.1	superfamily	444982	292	404	2.49342e-32	118.749	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#38 - ATP11543.1	superfamily	444982	288	400	5.81138e-33	120.29	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#39 - QCG49912.1	superfamily	444982	285	402	3.04963e-32	118.364	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#40 - ABI78064.1	superfamily	444982	326	438	3.2016e-28	107.964	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#40 - ABI78064.1	superfamily	181619	33	117	0.00663626	38.4085	cl32341	PRK09039 superfamily	C	 - 
Q#41 - GAA06515.1	superfamily	223881	258	442	1.36627e-33	125.503	cl42820	TolQ superfamily	 - 	 - 
Q#42 - PHZ60572.1	superfamily	223881	258	442	8.09311e-34	126.273	cl42820	TolQ superfamily	 - 	 - 
Q#43 - CAG22567.1	superfamily	223881	266	454	1.76752e-34	128.199	cl42820	TolQ superfamily	 - 	 - 
Q#44 - CAG23092.1	superfamily	223881	268	453	5.77905e-33	123.962	cl42820	TolQ superfamily	 - 	 - 
Q#45 - AAW87263.1	superfamily	223881	306	441	2.27745e-32	122.421	cl42820	TolQ superfamily	N	 - 
Q#46 - AAW87849.1	superfamily	223881	259	443	7.85477e-38	137.059	cl42820	TolQ superfamily	 - 	 - 
Q#47 - BAC61495.1	superfamily	223881	260	438	8.86879e-35	128.969	cl42820	TolQ superfamily	 - 	 - 
Q#48 - EAS74532.1	superfamily	223881	304	438	1.86083e-34	127.814	cl42820	TolQ superfamily	N	 - 
Q#49 - EAP92984.1	superfamily	223881	263	444	8.7657e-36	131.666	cl42820	TolQ superfamily	 - 	 - 
Q#50 - QEO41299.1	superfamily	223881	262	446	1.15213e-35	131.281	cl42820	TolQ superfamily	 - 	 - 
Q#51 - AAF94701.1	superfamily	223881	262	446	2.63255e-36	132.821	cl42820	TolQ superfamily	 - 	 - 
Q#51 - AAF94701.1	superfamily	432198	8	222	0.00259202	39.1371	cl26418	DUF3450 superfamily	 - 	 - 
Q#52 - EEW07943.1	superfamily	223881	263	442	1.45375e-36	133.592	cl42820	TolQ superfamily	 - 	 - 
Q#53 - BAC96945.1	superfamily	223881	305	439	2.99484e-37	135.518	cl42820	TolQ superfamily	N	 - 
Q#53 - BAC96945.1	superfamily	235316	30	117	0.0026469	40.3257	cl35272	mukB superfamily	NC	 - 
Q#54 - EDL50956.1	superfamily	444982	307	423	1.76718e-32	119.52	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#54 - EDL50956.1	superfamily	433535	46	102	0.000788913	39.1023	cl38441	DUF4200 superfamily	C	 - 
Q#55 - ACX73657.1	superfamily	223881	329	517	4.52805e-29	114.332	cl42820	TolQ superfamily	 - 	 - 
Q#56 - ABD82072.1	superfamily	223881	237	426	8.92648e-27	107.013	cl42820	TolQ superfamily	 - 	 - 
Q#56 - ABD82072.1	superfamily	227278	11	113	0.0005458	42.0165	cl34844	EnvC superfamily	C	 - 
Q#57 - MBU2984729.1	superfamily	223881	237	426	1.20537e-26	106.628	cl42820	TolQ superfamily	 - 	 - 
Q#57 - MBU2984729.1	superfamily	227278	11	113	0.000491478	42.4017	cl34844	EnvC superfamily	C	 - 
Q#58 - AFS38985.1	superfamily	223881	248	436	4.52213e-30	116.258	cl42820	TolQ superfamily	 - 	 - 
Q#58 - AFS38985.1	superfamily	274008	45	157	0.000741105	41.9659	cl37069	SMC_prok_B superfamily	NC	 - 
Q#59 - EAR27189.1	superfamily	444982	332	420	6.19425e-25	98.7188	cl00568	MotA_ExbB superfamily	N	 - 
Q#59 - EAR27189.1	superfamily	223881	234	427	5.25361e-24	99.309	cl42820	TolQ superfamily	 - 	 - 
Q#60 - GAC40346.1	superfamily	223881	234	418	4.75817e-28	110.48	cl42820	TolQ superfamily	 - 	 - 
Q#61 - CCQ11586.1	superfamily	223881	233	407	2.39814e-29	113.561	cl42820	TolQ superfamily	 - 	 - 
Q#62 - ARN57239.1	superfamily	223881	264	464	4.20314e-35	130.125	cl42820	TolQ superfamily	 - 	 - 
Q#62 - ARN57239.1	superfamily	235175	32	171	0.000107593	44.6696	cl35229	PRK03918 superfamily	N	 - 
Q#63 - AKJ65465.1	superfamily	444982	332	449	3.14547e-30	113.742	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#63 - AKJ65465.1	superfamily	224117	33	171	0.000808915	42.0088	cl34174	Smc superfamily	NC	 - 
Q#64 - AKJ64800.1	superfamily	444982	357	471	1.26887e-29	112.201	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#64 - AKJ64800.1	superfamily	431120	45	101	0.00339253	39.7477	cl25898	Atg14 superfamily	C	 - 
Q#65 - ADD67744.1	superfamily	223881	247	432	2.58827e-32	122.036	cl42820	TolQ superfamily	 - 	 - 
Q#65 - ADD67744.1	superfamily	224117	23	113	0.000188533	43.9348	cl34174	Smc superfamily	NC	 - 
Q#66 - QAR33784.1	superfamily	223881	255	444	1.56511e-32	122.806	cl42820	TolQ superfamily	 - 	 - 
Q#66 - QAR33784.1	superfamily	429718	29	110	0.000649705	41.7959	cl37761	CALCOCO1 superfamily	C	 - 
Q#67 - ACV68938.1	superfamily	223881	276	469	3.60278e-35	130.51	cl42820	TolQ superfamily	 - 	 - 
Q#67 - ACV68938.1	superfamily	236892	1	136	0.00110897	41.4357	cl36015	PRK11281 superfamily	C	 - 
Q#68 - ADD68377.1	superfamily	223881	254	441	2.5274e-36	133.207	cl42820	TolQ superfamily	 - 	 - 
Q#68 - ADD68377.1	superfamily	432198	11	230	2.65368e-08	54.5451	cl26418	DUF3450 superfamily	 - 	 - 
Q#69 - WP_027181145.1	superfamily	223881	259	449	1.33814e-36	133.977	cl42820	TolQ superfamily	 - 	 - 
Q#69 - WP_027181145.1	superfamily	227278	12	116	0.000132057	43.9425	cl34844	EnvC superfamily	NC	 - 
Q#70 - CAG37703.1	superfamily	223881	266	463	1.14128e-31	120.495	cl42820	TolQ superfamily	 - 	 - 
Q#70 - CAG37703.1	superfamily	432198	29	211	0.00644904	37.9815	cl26418	DUF3450 superfamily	 - 	 - 
Q#71 - WP_051363918.1	superfamily	223881	275	457	5.5094e-32	121.651	cl42820	TolQ superfamily	 - 	 - 
Q#71 - WP_051363918.1	superfamily	224117	31	124	0.000674231	42.394	cl34174	Smc superfamily	NC	 - 
Q#72 - AQU99646.1	superfamily	223881	264	463	4.91671e-40	143.222	cl42820	TolQ superfamily	 - 	 - 
Q#73 - ABA88104.1	superfamily	444982	328	444	4.71111e-37	131.846	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#73 - ABA88104.1	superfamily	432198	22	201	1.05395e-06	49.5375	cl26418	DUF3450 superfamily	C	 - 
Q#74 - ACN13130.1	superfamily	444982	340	456	2.43708e-34	124.912	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#74 - ACN13130.1	superfamily	237178	3	170	1.11855e-07	53.9449	cl36167	PRK12705 superfamily	C	 - 
Q#75 - SHJ01534.1	superfamily	444982	341	452	7.59549e-34	123.372	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#75 - SHJ01534.1	superfamily	224755	31	152	5.76259e-06	47.3122	cl34364	PspA superfamily	N	 - 
Q#76 - SHJ92591.1	superfamily	444982	350	456	6.66113e-34	123.757	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#76 - SHJ92591.1	superfamily	224117	24	138	3.67887e-05	46.246	cl34174	Smc superfamily	N	 - 
Q#77 - SHJ51022.1	superfamily	223881	285	475	4.72616e-34	127.429	cl42820	TolQ superfamily	 - 	 - 
Q#78 - ACX74513.1	superfamily	444982	417	515	2.66183e-33	122.601	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#79 - BAC61496.1	superfamily	223881	63	178	2.31376e-24	94.6866	cl42820	TolQ superfamily	N	 - 
Q#80 - EAS74531.1	superfamily	223881	65	178	3.1821e-24	94.3014	cl42820	TolQ superfamily	N	 - 
Q#81 - AAW87848.1	superfamily	223881	59	171	1.25716e-23	92.3754	cl42820	TolQ superfamily	N	 - 
Q#82 - EAP92983.1	superfamily	223881	67	180	1.52194e-24	95.0718	cl42820	TolQ superfamily	N	 - 
Q#83 - CAG22568.1	superfamily	223881	57	160	4.04893e-23	91.2198	cl42820	TolQ superfamily	N	 - 
Q#84 - CAG23091.1	superfamily	444982	64	158	1.33636e-21	84.4664	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#84 - CAG23091.1	superfamily	395014	1	48	0.0079408	35.7453	cl27683	Lig_chan superfamily	C	 - 
Q#85 - GAA06514.1	superfamily	223881	1	174	5.14889e-21	85.4418	cl42820	TolQ superfamily	 - 	 - 
Q#86 - PHZ60571.1	superfamily	223881	1	174	5.14889e-21	85.4418	cl42820	TolQ superfamily	 - 	 - 
Q#87 - AAW87264.1	superfamily	223881	27	169	1.27236e-23	91.9902	cl42820	TolQ superfamily	N	 - 
Q#88 - BAC96944.1	superfamily	223881	62	182	1.93363e-24	95.0718	cl42820	TolQ superfamily	N	 - 
Q#89 - QEO41300.1	superfamily	223881	1	180	9.40326e-31	110.865	cl42820	TolQ superfamily	 - 	 - 
Q#90 - AAF94700.1	superfamily	223881	1	180	9.40326e-31	110.865	cl42820	TolQ superfamily	 - 	 - 
Q#91 - EEW07942.1	superfamily	223881	1	180	2.27195e-29	107.398	cl42820	TolQ superfamily	 - 	 - 
Q#92 - EDL50955.1	superfamily	444982	103	166	1.7053e-18	76.7624	cl00568	MotA_ExbB superfamily	N	 - 
Q#93 - CCQ12342.1	superfamily	444982	63	161	2.62912e-22	86.3924	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#94 - EAR29316.1	superfamily	444982	63	156	1.34921e-20	81.77	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#95 - AAZ26301.1	superfamily	444982	63	161	1.46942e-22	86.7776	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#96 - EHR42233.1	superfamily	444982	64	164	2.43051e-22	86.3924	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#97 - AAV82689.1	superfamily	444982	62	162	7.06099e-23	87.548	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#98 - AEP30401.1	superfamily	444982	62	161	8.41188e-22	84.8516	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#99 - AFS36593.1	superfamily	444982	63	161	7.39246e-22	85.2368	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#100 - GAC38235.1	superfamily	444982	63	161	1.42541e-21	84.4664	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#101 - GAC25510.1	superfamily	444982	63	161	9.07023e-22	84.8516	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#102 - AAN54878.2	superfamily	444982	64	157	6.67722e-19	77.5328	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#103 - UXK07261.1	superfamily	444982	64	162	3.31298e-20	80.9996	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#104 - ABV36184.1	superfamily	223881	49	169	1.80392e-20	83.901	cl42820	TolQ superfamily	N	 - 
Q#105 - BAJ02935.1	superfamily	223881	50	170	4.75796e-21	85.4418	cl42820	TolQ superfamily	N	 - 
Q#106 - ABK38544.1	superfamily	223881	16	164	7.05383e-19	80.049	cl42820	TolQ superfamily	 - 	 - 
Q#107 - ATP11542.1	superfamily	223881	24	164	9.09471e-18	76.9674	cl42820	TolQ superfamily	N	 - 
Q#108 - QCG49911.1	superfamily	444982	74	162	4.4097e-19	77.918	cl00568	MotA_ExbB superfamily	N	 - 
Q#109 - EKB22829.1	superfamily	223881	16	164	9.66403e-19	79.6638	cl42820	TolQ superfamily	 - 	 - 
Q#110 - AFS36171.1	superfamily	444982	60	160	5.689e-17	72.5252	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#111 - GAC23145.1	superfamily	444982	67	160	5.92864e-18	74.8364	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#112 - GAC39743.1	superfamily	444982	67	160	1.68198e-17	73.6808	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#113 - AEP30902.1	superfamily	444982	70	161	2.05457e-16	70.9844	cl00568	MotA_ExbB superfamily	N	 - 
Q#114 - AAV82949.1	superfamily	444982	70	163	3.31127e-19	78.3032	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#115 - EAR30273.1	superfamily	444982	70	163	1.28729e-22	87.1628	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#116 - CCQ10605.1	superfamily	444982	70	164	4.92882e-20	80.6144	cl00568	MotA_ExbB superfamily	N	 - 
Q#117 - AAZ26991.1	superfamily	444982	69	163	1.17553e-17	74.4512	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#118 - ABD79618.1	superfamily	223881	11	169	2.76829e-18	78.5082	cl42820	TolQ superfamily	 - 	 - 
Q#119 - MBU2986357.1	superfamily	223881	11	169	2.76829e-18	78.5082	cl42820	TolQ superfamily	 - 	 - 
Q#120 - QEI18325.1	superfamily	223881	18	162	6.32784e-21	85.4418	cl42820	TolQ superfamily	 - 	 - 
Q#121 - ADG92230.1	superfamily	444982	80	153	2.39827e-18	75.992	cl00568	MotA_ExbB superfamily	N	 - 
Q#122 - ABI77570.1	superfamily	444982	100	157	0.000146184	39.398	cl00568	MotA_ExbB superfamily	N	 - 
Q#123 - ABK36340.1	superfamily	444982	60	162	8.43924e-18	74.8364	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#124 - EKB20827.1	superfamily	444982	60	162	6.52896e-18	74.8364	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#125 - QCG47235.1	superfamily	444982	60	162	1.88704e-18	76.3772	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#126 - ATP10893.1	superfamily	444982	73	160	2.21574e-18	75.992	cl00568	MotA_ExbB superfamily	N	 - 
Q#127 - BAC58428.1	superfamily	444982	72	162	6.3228e-18	74.8364	cl00568	MotA_ExbB superfamily	N	 - 
Q#128 - EAS76517.1	superfamily	444982	72	162	4.78774e-18	75.2216	cl00568	MotA_ExbB superfamily	N	 - 
Q#129 - BAC93011.1	superfamily	444982	63	162	3.05469e-18	75.6068	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#130 - QEI18408.1	superfamily	444982	69	160	1.387e-17	74.066	cl00568	MotA_ExbB superfamily	N	 - 
Q#131 - ABA57127.1	superfamily	444982	70	162	8.04996e-19	77.1476	cl00568	MotA_ExbB superfamily	N	 - 
Q#132 - AAU90379.1	superfamily	444982	66	139	6.65155e-14	64.0508	cl00568	MotA_ExbB superfamily	N	 - 
Q#133 - ADD68376.1	superfamily	223881	13	198	1.01142e-23	93.531	cl42820	TolQ superfamily	 - 	 - 
Q#134 - ACV68939.1	superfamily	223881	16	193	1.8716e-23	93.1458	cl42820	TolQ superfamily	 - 	 - 
Q#135 - WP_011368050.1	superfamily	444982	85	181	4.69759e-23	89.0888	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#136 - CAG37702.1	superfamily	444982	76	153	4.19146e-25	93.326	cl00568	MotA_ExbB superfamily	N	 - 
Q#137 - SHJ01581.1	superfamily	223881	11	184	6.37721e-15	70.0338	cl42820	TolQ superfamily	 - 	 - 
Q#138 - SHJ92628.1	superfamily	223881	15	173	3.04453e-09	54.2407	cl42820	TolQ superfamily	 - 	 - 
Q#139 - ACN13129.1	superfamily	223881	5	188	6.06172e-27	101.62	cl42820	TolQ superfamily	 - 	 - 
Q#140 - SHJ50986.1	superfamily	444982	91	188	1.07444e-10	56.732	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#141 - AQU99647.1	superfamily	223881	5	198	4.91287e-32	115.873	cl42820	TolQ superfamily	 - 	 - 
Q#142 - ABA88103.1	superfamily	223881	6	204	1.5067e-13	66.567	cl42820	TolQ superfamily	 - 	 - 
Q#143 - ARN57240.1	superfamily	444982	82	185	4.4642e-18	76.3772	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#144 - AKJ65464.1	superfamily	223881	94	200	1.08829e-20	85.4418	cl42820	TolQ superfamily	N	 - 
Q#145 - AKJ64799.1	superfamily	444982	106	187	6.64977e-21	83.696	cl00568	MotA_ExbB superfamily	N	 - 
Q#145 - AKJ64799.1	superfamily	223881	14	183	1.89894e-17	77.3526	cl42820	TolQ superfamily	 - 	 - 
Q#146 - WP_011366583.1	superfamily	444982	132	192	2.5255e-11	58.658	cl00568	MotA_ExbB superfamily	N	 - 
Q#147 - QAR33783.1	superfamily	444982	29	157	9.32117e-20	79.844	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#148 - ADD67745.1	superfamily	444982	31	156	1.38816e-16	71.3696	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#149 - ACX74512.1	superfamily	444982	112	208	2.6536e-10	55.9616	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#149 - ACX74512.1	superfamily	223881	18	230	2.96921e-10	58.0926	cl42820	TolQ superfamily	 - 	 - 
Q#150 - ACX73656.1	superfamily	223881	6	189	1.08019e-26	101.62	cl42820	TolQ superfamily	 - 	 - 
Q#151 - MBU2984728.1	superfamily	223881	65	120	7.20255e-07	46.1515	cl42820	TolQ superfamily	N	 - 
Q#152 - ABD82073.1	superfamily	223881	65	120	5.56035e-07	46.5367	cl42820	TolQ superfamily	N	 - 
Q#153 - GAC40345.1	superfamily	444982	65	119	0.00190892	35.9313	cl00568	MotA_ExbB superfamily	N	 - 
Q#154 - EAR27190.1	superfamily	444982	56	117	1.95614e-12	59.4284	cl00568	MotA_ExbB superfamily	N	 - 
Q#155 - AFS38984.1	superfamily	444982	53	108	3.15144e-09	50.954	cl00568	MotA_ExbB superfamily	N	 - 
Q#156 - CCQ11587.1	superfamily	444982	59	108	0.000181103	37.8573	cl00568	MotA_ExbB superfamily	N	 - 
Q#157 - EHJ03729.1	superfamily	444982	81	190	2.04928e-23	91.0148	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#158 - ADP97901.1	superfamily	444982	81	190	2.73198e-23	90.6296	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#159 - CCG94972.1	superfamily	444982	81	190	3.88207e-23	90.2444	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#160 - ABM18892.1	superfamily	444982	81	190	3.23939e-23	90.2444	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#161 - ACL71636.1	superfamily	444982	72	192	5.00763e-26	97.178	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#162 - ABM18682.1	superfamily	444982	89	196	1.31072e-22	88.3184	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#163 - CCG95163.1	superfamily	444982	84	191	1.71748e-22	87.9332	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#164 - ADP97633.1	superfamily	444982	56	176	8.15138e-23	88.3184	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#165 - ABD82818.1	superfamily	444982	69	189	2.06432e-27	101.03	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#166 - MBU2986144.1	superfamily	444982	69	189	2.06432e-27	101.03	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#167 - QEI20720.1	superfamily	444982	72	189	1.72781e-28	103.726	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#168 - GAC36657.1	superfamily	444982	73	192	1.57451e-28	103.726	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#169 - AEP31741.1	superfamily	444982	72	167	1.67656e-19	80.2292	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#170 - ABD82214.1	superfamily	444982	73	193	8.8018e-26	97.178	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#171 - MBU2985168.1	superfamily	444982	73	193	1.04414e-25	97.178	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#172 - ACX75484.1	superfamily	444982	73	197	5.61911e-17	73.6808	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#173 - ABF90777.1	superfamily	444982	95	211	2.32993e-22	88.3184	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#174 - UEO05650.1	superfamily	444982	95	211	2.32993e-22	88.3184	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#175 - AFE07995.1	superfamily	223881	37	225	8.97478e-24	95.0718	cl42820	TolQ superfamily	 - 	 - 
Q#176 - ADO68798.1	superfamily	444982	95	211	1.10878e-23	91.7852	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#177 - ACL67782.1	superfamily	444982	76	193	4.64131e-28	102.571	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#178 - AHZ86892.1	superfamily	444982	77	187	2.01095e-23	90.2444	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#179 - AUX22205.1	superfamily	223881	8	203	5.28117e-26	100.079	cl42820	TolQ superfamily	 - 	 - 
Q#180 - AHZ86042.1	superfamily	444982	76	196	3.36699e-30	108.349	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#181 - AHZ84904.1	superfamily	223881	14	210	2.71928e-23	93.1458	cl42820	TolQ superfamily	 - 	 - 
Q#182 - ABF87376.1	superfamily	444982	111	228	1.85315e-17	75.992	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#183 - UEO02151.1	superfamily	444982	96	213	9.30259e-18	76.3772	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#184 - ADO72879.1	superfamily	444982	97	214	3.47884e-18	77.5328	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#185 - AFE07994.1	superfamily	444982	101	218	3.1101e-20	82.9256	cl00568	MotA_ExbB superfamily	 - 	 - 
