motA	motB
AFE07995	AFE07538
AFE07999	AFE10517
AFE08685	AFE08687
AFE08686	AFE10518
AFE10515	AFE08688
AFE10516	AFE08690
AFL86415	AFL86416
AFL88265	AFL88266
AFL88473	AFL88474
AFL88606	AFL88607
AFL88814	AFL88815
AGR80198	AGR80825
AHE95900	AHE95899
AHE96346	AHE96345
AIE86461	AIE86462
AIK95558	AIK95531
AIK95837	AIK95820
AIQ91305	AIQ91306
AIQ92722	AIQ92723
AIQ92767	AIQ92766
AJH79515	AJH78804
AJJ31614	AJJ32016
AJJ31712	AJJ30776
AJJ32465	AJJ32941
AJJ32757	AJJ30848
AJJ54987	AJJ53980
AJJ55217	AJJ54952
AJJ56099	AJJ56908
AJJ56783	AJJ54417
AKD02510	AKD02511
AKD04823	AKD04822
AKJ63346	AKJ63347
AKJ63368	AKJ63367
AKJ64099	AKJ64100
AKJ64362	AKJ64363
AKJ64800	AKJ64799
AKJ65464	AKJ65463
AKJ65465	AKJ65464
AKJ65567	AKJ65566
AKL98121	AKL98120
ALA58549	ALA58548
ALA60092	ALA60091
ALA61164	ALA61163
ALF47869	ALF47868
ALJ56692	ALJ56691
ALU34477	ALU34476
ALU36624	ALU36625
ALW88052	ALW88053
AMW06484	AMW03967
AMW06740	AMW05084
AOO65115	AOO65114
APC07539	APC07538
APC07901	APC07902
APC08935	APC08936
APW42522	APW42521
APW42557	APW42556
APW42908	APW44802
APW43194	APW43192
APW43236	APW43237
APW44370	APW44369
AQU99646	AQU99647
AQU99647	AQU99648
ARN57239	ARN57240
ARN57520	ARN57521
ARU42506	ARU39646
ATC62712	ATC62713
ATC63405	ATC63404
ATC63650	ATC63649
ATC64798	ATC64797
ATO49114	ATO49113
ATO49967	ATO49968
ATU63282	ATU63283
ATU64277	ATU64276
ATU65616	ATU68567
ATU65955	ATU65954
ATU66302	ATU66303
ATU66653	ATU66654
ATX78565	ATX78566
ATX78592	ATX78593
ATX79248	ATX79249
ATX79746	ATX79747
ATX80498	ATX80497
ATX81215	ATX81216
ATX81939	ATX81938
ATX82358	ATX82357
ATX82900	ATX82901
ATX82928	ATX82929
AVM45096	AVM45098
AVM45415	AVM45417
AVQ28424	AVQ28426
AVQ29260	AVQ29262
AVQ29523	AVQ29523
AWG41586	AWG41585
AWI08418	AWI08419
AWI08882	AWI08883
AWV88047	AWV88047
AWV88602	AWV88604
AWV89332	AWV89334
AWV89461	AWV89463
AWV89791	AWV89791
BAC58952	BAC58606
BAC59320	BAC61879
BAC61768	BAC63092
BAC62899	BAC61148
BAC89082	BAC89081
BAC89328	BAC89329
BAC90343	BAC90344
BAD41956	BAD41955
BAG40198	BAG40199
BAH37338	BAH37337
BAH38987	BAH38986
BAH39052	BAH39051
BAM06016	BAM06017
BAM06053	BAM06052
BAM06957	BAM06956
BAS27507	BAS27508
BAS27557	BAS27558
BBM36826	BBM36825
BCB95125	BCB95124
BCB96091	BCB96092
BCB96094	BCB96095
BCI63438	BCI63437
BCI63565	BCI63566
BDB95989	BDB95990
CAB13242	CAB13241
CAB14951	CAB14950
CAD71937	CAD71936
CAD73493	CAD73494
CAD74695	CAD74694
CAD76169	CAD76170
CAD76944	CAD76945
CAD77369	CAD77368
CAL34348	CAL34349
CAL34488	CAL34487
CCB87487	CCB87486
CCB87689	CCB87690
CCG56832	CCG56828
CCG57546	CCG57547
CCW34551	CCW34550
CCW35905	CCW35906
CCW36281	CCW36280
CDK97637	CDK97636
CDK97994	CDK97995
CDK98228	CDK98227
CDK98316	CDK98315
EKT86397	EKT86763
EKT86693	EKT85260
EKT87439	EKT87718
EKT88184	EKT87259
EKT88755	EKT85765
QAR32385	QAR32386
QAR32927	QAR32928
QAR33430	QAR33429
QAR33784	QAR33783
QAT17178	QAT17177
QAT17590	QAT17589
QAT61614	QAT61615
QAT63225	QAT63224
QDU25289	QDU25288
QDU25322	QDU25321
QDU25761	QDU25760
QDU26963	QDU26962
QDU27583	QDU27582
QDU29130	QDU29131
QDU30851	QDU30850
QDU31292	QDU31293
QDU92956	QDU92955
QDU93364	QDU93365
QDU94732	QDU94731
QDU94893	QDU94894
QDU97593	QDU97594
QDU98188	QDU98189
QDU98468	QDU98462
QDU99088	QDU99089
QEO41016	QEO43161
QEO41881	QEO43587
QEO43084	QEO41858
QFG02534	QFG02533
QIZ70555	QIZ70554
QIZ71789	QIZ71788
QJE95191	QJE95193
QJE97269	QJE97271
QJE97381	QJE97383
QJE97562	QJE97562
QJE97567	QJE97567
QJE97904	QJE97905
QJR34785	QJR34786
QJR34845	QJR34846
QJR36484	QJR36485
QKY92913	QKY92913
QKY94846	QKY94849
QKY95842	QKY95844
QNQ08778	QNQ08778
QNQ09341	QNQ12176
QNQ10683	QNQ10685
QNQ12173	QNQ12174
QOY85080	QOY85039
QOY85398	QOY85353
QOY86330	QOY86286
QOY87643	QOY87598
QOY88067	QOY88023
QOY88835	QOY88792
QOY88866	QOY88823
QQS88170	QQS88172
QQS88496	QQS88498
QSR83870	QSR83870
QSR84174	QSR84174
QSR84237	QSR84239
QSR84464	QSR84464
QSR84626	QSR84628
QSR85862	QSR85862
QTD50766	QTD50771
QTD52661	QTD52661
QTD53280	QTD53280
QTD53836	QTD53838
QUV79767	QUV80337
QVL32579	QVL32581
QVL32859	QVL32861
QXB09426	QXB09428
QXB11428	QXB11430
QXB11670	QXB11672
QZZ19520	QZZ19519
QZZ21680	QZZ21679
QZZ22141	QZZ22142
QZZ23337	QZZ21400
SEH78546	SEH78532
SEH93354	SEH93343
SEH96646	SEH96632
SEI00245	SEI00267
SLM46359	SLM46358
SNW07143	SNW07145
UAK41330	UAK41330
UAK41566	UAK41566
UAK42981	UAK42983
UBQ04634	UBQ04635
UBQ05764	UBQ05765
UBQ05954	UBQ05953
UBQ06174	UBQ06173
UBQ06690	UBQ06689
UNU17462	UNU17463
UNU18280	UNU18281
UOY13875	UOY13874
UPH48256	UPH48258
USF23676	USF23675
USF25003	USF25004
